DATE,IRLTLT01ITM156N
2003-05-01,4.04
2003-06-01,4.13
2003-07-01,4.29
2003-08-01,4.31
2003-09-01,4.4
2003-10-01,4.38
2003-11-01,4.51
2003-12-01,4.46
2004-01-01,4.3166
2004-02-01,4.3428
2004-03-01,4.1687
2004-04-01,4.3509
2004-05-01,4.493
2004-06-01,4.5439
2004-07-01,4.4399
2004-08-01,4.2771
2004-09-01,4.2508
2004-10-01,4.1289
2004-11-01,3.9998
2004-12-01,3.7917
2005-01-01,3.7114
2005-02-01,3.6784
2005-03-01,3.8373
2005-04-01,3.6532
2005-05-01,3.5526
2005-06-01,3.405
2005-07-01,3.4384
2005-08-01,3.449
2005-09-01,3.287
2005-10-01,3.4444
2005-11-01,3.65516
2005-12-01,3.5532
2006-01-01,3.5435
2006-02-01,3.6973
2006-03-01,3.9228
2006-04-01,4.22
2006-05-01,4.2847
2006-06-01,4.2947
2006-07-01,4.3065
2006-08-01,4.1707
2006-09-01,4.0358
2006-10-01,4.07
2006-11-01,3.9701
2006-12-01,4.0376
2007-01-01,4.2628
2007-02-01,4.2801
2007-03-01,4.1762
2007-04-01,4.3702
2007-05-01,4.4897
2007-06-01,4.772
2007-07-01,4.7603
2007-08-01,4.5835
2007-09-01,4.5736
2007-10-01,4.5909
2007-11-01,4.4493
2007-12-01,4.5385
2008-01-01,4.3989
2008-02-01,4.3544
2008-03-01,4.38
2008-04-01,4.53
2008-05-01,4.7
2008-06-01,5.1056
2008-07-01,5.0946
2008-08-01,4.8139
2008-09-01,4.8041
2008-10-01,4.78
2008-11-01,4.7425
2008-12-01,4.4688
2009-01-01,4.6213
2009-02-01,4.5358
2009-03-01,4.4584
2009-04-01,4.356
2009-05-01,4.4151
2009-06-01,4.6062
2009-07-01,4.3729
2009-08-01,4.116
2009-09-01,4.088
2009-10-01,4.101
2009-11-01,4.0565
2009-12-01,4.007
2010-01-01,4.0779
2010-02-01,4.047
2010-03-01,3.945
2010-04-01,3.9956
2010-05-01,3.99
2010-06-01,4.1
2010-07-01,4.03
2010-08-01,3.8
2010-09-01,3.86
2010-10-01,3.8
2010-11-01,4.18
2010-12-01,4.603
2011-01-01,4.729
2011-02-01,4.7356
2011-03-01,4.8754
2011-04-01,4.841
2011-05-01,4.756
2011-06-01,4.8156
2011-07-01,5.463
2011-08-01,5.2705
2011-09-01,5.746
2011-10-01,5.9719
2011-11-01,7.0571
2011-12-01,6.812
2012-01-01,6.5366
2012-02-01,5.546
2012-03-01,5.0488
2012-04-01,5.6758
2012-05-01,5.7833
2012-06-01,5.9037
2012-07-01,5.996
2012-08-01,5.822
2012-09-01,5.254
2012-10-01,4.9529
2012-11-01,4.8514
2012-12-01,4.5416
2013-01-01,4.2077
2013-02-01,4.4929
2013-03-01,4.6404
2013-04-01,4.278
2013-05-01,3.964
2013-06-01,4.3789
2013-07-01,4.4183
2013-08-01,4.4191
2013-09-01,4.5411
2013-10-01,4.2476
2013-11-01,4.0951
2013-12-01,4.114
2014-01-01,3.866
2014-02-01,3.6512
2014-03-01,3.3994
2014-04-01,3.228
2014-05-01,3.1233
2014-06-01,2.92
2014-07-01,2.7936
2014-08-01,2.6327
2014-09-01,2.4
2014-10-01,2.424
2014-11-01,2.2904
2014-12-01,1.9898
2015-01-01,1.7021
2015-02-01,1.5568
2015-03-01,1.2942
2015-04-01,1.3574
2015-05-01,1.812
2015-06-01,2.199
2015-07-01,2.0421
2015-08-01,1.839
2015-09-01,1.92
2015-10-01,1.696
2015-11-01,1.5702
2015-12-01,1.5786
2016-01-01,1.534
2016-02-01,1.558
2016-03-01,1.375
2016-04-01,1.4418
2016-05-01,1.5263
2016-06-01,1.4535
2016-07-01,1.2272
2016-08-01,1.1763
2016-09-01,1.2661
2016-10-01,1.45
2016-11-01,1.943
2016-12-01,1.886
2017-01-01,1.9911
2017-02-01,2.352
2017-03-01,2.401
2017-04-01,2.257
2017-05-01,2.194
2017-06-01,2.053
2017-07-01,2.231
2017-08-01,2.1099
2017-09-01,2.1095
2017-10-01,2.0738
2017-11-01,1.7888
2017-12-01,1.794
2018-01-01,1.984
2018-02-01,2.081
2018-03-01,1.9655
2018-04-01,1.7734
2018-05-01,2.18
2018-06-01,2.74
2018-07-01,2.64
